size;algo;time
1000;rechercher;8.535385131835938e-05
1000;contains;1.0728836059570312e-05
1000;rechercher;0.0003256797790527344
1000;contains;7.3909759521484375e-06
1000;rechercher;0.00032258033752441406
1000;contains;8.344650268554688e-06
1000;rechercher;0.00016236305236816406
1000;contains;1.3828277587890625e-05
1000;rechercher;0.00017762184143066406
1000;contains;9.298324584960938e-06
1000;rechercher;0.00017142295837402344
1000;contains;1.0728836059570312e-05
1000;rechercher;0.00016450881958007812
1000;contains;1.2874603271484375e-05
1000;rechercher;0.00017309188842773438
1000;contains;1.0967254638671875e-05
1000;rechercher;0.00016427040100097656
1000;contains;1.239776611328125e-05
1000;rechercher;0.00031185150146484375
1000;contains;1.1920928955078125e-05
1000;rechercher;0.0003135204315185547
1000;contains;1.0967254638671875e-05
1000;rechercher;0.0002987384796142578
1000;contains;1.049041748046875e-05
1000;rechercher;0.00010848045349121094
1000;contains;1.0728836059570312e-05
1000;rechercher;0.00015306472778320312
1000;contains;1.2636184692382812e-05
1000;rechercher;0.00015401840209960938
1000;contains;1.0251998901367188e-05
1000;rechercher;0.00016450881958007812
1000;contains;1.9311904907226562e-05
1000;rechercher;0.00016164779663085938
1000;contains;1.1920928955078125e-05
1000;rechercher;0.0001506805419921875
1000;contains;9.5367431640625e-06
1000;rechercher;0.00015234947204589844
1000;contains;9.775161743164062e-06
1000;rechercher;0.00032067298889160156
1000;contains;1.2159347534179688e-05
1000;rechercher;0.0003898143768310547
1000;contains;9.775161743164062e-06
1000;rechercher;0.00010132789611816406
1000;contains;1.0251998901367188e-05
1000;rechercher;0.0001823902130126953
1000;contains;9.775161743164062e-06
1000;rechercher;0.00016355514526367188
1000;contains;1.049041748046875e-05
1000;rechercher;0.00019359588623046875
1000;contains;1.5735626220703125e-05
1000;rechercher;0.00017380714416503906
1000;contains;1.33514404296875e-05
1000;rechercher;0.00016617774963378906
1000;contains;1.5497207641601562e-05
1000;rechercher;0.00032401084899902344
1000;contains;1.430511474609375e-05
1000;rechercher;0.00015616416931152344
